"time","temp","temp_dew"
2017-07-30 00:00:00,9.4,8.5
2017-07-30 01:00:00,8,7.5
2017-07-30 02:00:00,8.3,7.7
2017-07-30 03:00:00,7.3,7.2
2017-07-30 04:00:00,6.9,6.6
2017-07-30 05:00:00,6.3,6.2
2017-07-30 06:00:00,8.3,7.4
2017-07-30 07:00:00,10.9,9.2
2017-07-30 08:00:00,14.1,10
2017-07-30 09:00:00,17.3,10.3
2017-07-30 10:00:00,19.5,10.4
2017-07-30 11:00:00,20.8,11
2017-07-30 12:00:00,22.5,10.6
2017-07-30 13:00:00,23,11.4
2017-07-30 14:00:00,23.1,10.5
2017-07-30 15:00:00,24.1,12.7
2017-07-30 16:00:00,23.8,11.6
2017-07-30 17:00:00,23.5,12.2
2017-07-30 18:00:00,22.2,13.3
2017-07-30 19:00:00,19.6,13.4
2017-07-30 20:00:00,17.3,12.7
2017-07-30 21:00:00,15.3,12.8
2017-07-30 22:00:00,13.6,12.5
2017-07-30 23:00:00,12.8,12.2
2017-07-31 00:00:00,12.2,11.3
2017-07-31 01:00:00,12.3,11.5
2017-07-31 02:00:00,11.1,10.7
2017-07-31 03:00:00,11.8,11
2017-07-31 04:00:00,11.1,10.7
2017-07-31 05:00:00,12.2,11.3
2017-07-31 06:00:00,15.5,13
2017-07-31 07:00:00,18.2,14.2
2017-07-31 08:00:00,19.6,15.4
2017-07-31 09:00:00,21.5,15.6
2017-07-31 10:00:00,24,16.5
2017-07-31 11:00:00,24.9,17.2
2017-07-31 12:00:00,25.5,17.2
2017-07-31 13:00:00,25.4,17.2
2017-07-31 14:00:00,26.4,18.1
2017-07-31 15:00:00,26,18.1
2017-07-31 16:00:00,24.5,18.4
2017-07-31 17:00:00,23.9,18.9
2017-07-31 18:00:00,24.1,19
2017-07-31 19:00:00,22,18.8
2017-07-31 20:00:00,19.6,18.4
2017-07-31 21:00:00,18.1,17.4
2017-07-31 22:00:00,17.8,16.9
2017-07-31 23:00:00,17.4,17
2017-08-01 00:00:00,15.7,15.4
2017-08-01 01:00:00,14.4,14.3
2017-08-01 02:00:00,14.3,14.2
2017-08-01 03:00:00,12.4,12.3
2017-08-01 04:00:00,12.4,12.4
2017-08-01 05:00:00,12.5,12.5
2017-08-01 06:00:00,13.5,13.5
2017-08-01 07:00:00,15.1,15.1
2017-08-01 08:00:00,17.5,16
2017-08-01 09:00:00,20.7,15.4
2017-08-01 10:00:00,23,13.6
2017-08-01 11:00:00,23.7,12.2
2017-08-01 12:00:00,24.2,12
2017-08-01 13:00:00,25,13
2017-08-01 14:00:00,25.3,11.7
2017-08-01 15:00:00,25.7,11.7
2017-08-01 16:00:00,25.5,11.8
2017-08-01 17:00:00,24.8,13.3
2017-08-01 18:00:00,23.9,13.2
2017-08-01 19:00:00,20.4,14.3
2017-08-01 20:00:00,17.5,13.9
2017-08-01 21:00:00,16.3,13.8
2017-08-01 22:00:00,14.4,13.4
2017-08-01 23:00:00,13.3,12.9
2017-08-02 00:00:00,12.8,12.3
2017-08-02 01:00:00,11.9,11.3
2017-08-02 02:00:00,11.6,11
2017-08-02 03:00:00,10,9.7
2017-08-02 04:00:00,10.3,9.9
2017-08-02 05:00:00,10.5,9.9
2017-08-02 06:00:00,12.8,11.4
2017-08-02 07:00:00,15.8,12.7
2017-08-02 08:00:00,19.3,14.6
2017-08-02 09:00:00,22,15.7
2017-08-02 10:00:00,25.1,16.1
2017-08-02 11:00:00,26.6,18.3
2017-08-02 12:00:00,27.4,17.8
2017-08-02 13:00:00,28,18.1
2017-08-02 14:00:00,27.4,16.7
2017-08-02 15:00:00,28.6,16.1
2017-08-02 16:00:00,28.7,16.1
2017-08-02 17:00:00,28.2,16.2
2017-08-02 18:00:00,27,16.6
2017-08-02 19:00:00,22.5,18
2017-08-02 20:00:00,20.4,17.7
2017-08-02 21:00:00,20.1,17.6
2017-08-02 22:00:00,19.5,16.6
2017-08-02 23:00:00,18.5,18
2017-08-03 00:00:00,18,17.8
2017-08-03 01:00:00,17.9,17.6
2017-08-03 02:00:00,17.7,17.4
2017-08-03 03:00:00,17.3,17
2017-08-03 04:00:00,16.3,16.3
2017-08-03 05:00:00,16.2,16.2
2017-08-03 06:00:00,17.2,17
2017-08-03 07:00:00,19,17.4
2017-08-03 08:00:00,21.6,18.6
2017-08-03 09:00:00,23.1,18.7
2017-08-03 10:00:00,24.3,18.4
2017-08-03 11:00:00,24.8,20.3
2017-08-03 12:00:00,25.5,19.1
2017-08-03 13:00:00,25.2,18.9
2017-08-03 14:00:00,21.9,20.3
2017-08-03 15:00:00,21.7,20.3
2017-08-03 16:00:00,23.4,20.4
2017-08-03 17:00:00,24.1,20.6
2017-08-03 18:00:00,23.5,21.2
2017-08-03 19:00:00,22.3,19.7
2017-08-03 20:00:00,19.8,19.2
2017-08-03 21:00:00,19.3,19.1
2017-08-03 22:00:00,18.4,18.2
2017-08-03 23:00:00,17.8,17.8
2017-08-04 00:00:00,17.3,17.3
2017-08-04 01:00:00,17.4,17.1
2017-08-04 02:00:00,16.4,16.2
2017-08-04 03:00:00,15.6,15.5
2017-08-04 04:00:00,15.1,14.8
2017-08-04 05:00:00,15.4,15.1
2017-08-04 06:00:00,16.5,15.7
2017-08-04 07:00:00,19.2,17.2
2017-08-04 08:00:00,21.9,18.5
2017-08-04 09:00:00,25.5,18.4
2017-08-04 10:00:00,26.7,18.7
2017-08-04 11:00:00,27.8,19.4
2017-08-04 12:00:00,28,18.7
2017-08-04 13:00:00,29.3,19.2
2017-08-04 14:00:00,29,18.4
2017-08-04 15:00:00,29.3,17.9
2017-08-04 16:00:00,28.3,20.1
2017-08-04 17:00:00,27.3,18.2
2017-08-04 18:00:00,25.8,18.4
2017-08-04 19:00:00,24.3,18.5
2017-08-04 20:00:00,22.9,19.3
2017-08-04 21:00:00,22.8,19
2017-08-04 22:00:00,22.5,18.7
2017-08-04 23:00:00,21.9,18.1
2017-08-05 00:00:00,22.1,18
2017-08-05 01:00:00,21.8,17.5
2017-08-05 02:00:00,20.7,17.2
2017-08-05 03:00:00,19.5,16.9
2017-08-05 04:00:00,18.3,16
2017-08-05 05:00:00,20,15.7
2017-08-05 06:00:00,20.6,16.7
2017-08-05 07:00:00,20.6,16.8
2017-08-05 08:00:00,21,16.6
2017-08-05 09:00:00,21,16.5
2017-08-05 10:00:00,20.4,17.3
2017-08-05 11:00:00,20.5,18.2
2017-08-05 12:00:00,21.5,18.5
2017-08-05 13:00:00,16.5,15.7
2017-08-05 14:00:00,16.3,15.8
2017-08-05 15:00:00,15.9,15.8
2017-08-05 16:00:00,15.5,15.2
2017-08-05 17:00:00,15.6,15.1
2017-08-05 18:00:00,16.5,15.9
2017-08-05 19:00:00,15.9,15.6
2017-08-05 20:00:00,15.4,15.3
2017-08-05 21:00:00,14.9,14.8
2017-08-05 22:00:00,14.1,13.8
2017-08-05 23:00:00,14.3,14.3
