CodeTourbiere,ID,element,concentration
BEAU,1,N_pourc,1.725
BEAU,1,P_pourc,0.1082829246
BEAU,1,K_pourc,1.2133692551
BEAU,2,N_pourc,2.183
BEAU,2,P_pourc,0.0984998343
BEAU,2,K_pourc,1.2151552916
BEAU,3,N_pourc,2.122
BEAU,3,P_pourc,0.07076705
BEAU,3,K_pourc,1.0494440254
BEAU,4,N_pourc,1.948
BEAU,4,P_pourc,0.090898727
BEAU,4,K_pourc,1.191573698
BEAU,5,N_pourc,2.039
BEAU,5,P_pourc,0.1152473024
BEAU,5,K_pourc,0.9465649146
BP,6,N_pourc,2.132
BP,6,P_pourc,0.1512261525
BP,6,K_pourc,0.7291942196
BP,7,N_pourc,2.064
BP,7,P_pourc,0.1618433389
BP,7,K_pourc,0.8241397643
BP,8,N_pourc,1.774
BP,8,P_pourc,0.1663597318
BP,8,K_pourc,0.7779630469
BP,9,N_pourc,2.162
BP,9,P_pourc,0.155963773
BP,9,K_pourc,0.7543522345
BP,10,N_pourc,2.142
BP,10,P_pourc,0.1533291471
BP,10,K_pourc,0.6484416875
2,11,N_pourc,2.906
2,11,P_pourc,0.1380346775
2,11,K_pourc,1.1926746844
2,12,N_pourc,2.704
2,12,P_pourc,0.1467450302
2,12,K_pourc,1.2410964663
2,13,N_pourc,2.828
2,13,P_pourc,0.1738650081
2,13,K_pourc,1.0612371174
2,14,N_pourc,3.099
2,14,P_pourc,0.2074803732
2,14,K_pourc,1.3260069593
2,15,N_pourc,2.903
2,15,P_pourc,0.1663551726
2,15,K_pourc,1.00893437
2,16,N_pourc,2.783
2,16,P_pourc,0.1671313853
2,16,K_pourc,0.8313732668
2,17,N_pourc,2.609
2,17,P_pourc,0.1418473422
2,17,K_pourc,1.0067850383
2,18,N_pourc,2.969
2,18,P_pourc,0.16561994829999999
2,18,K_pourc,1.206091114
2,19,N_pourc,2.624
2,19,P_pourc,0.2130140699
2,19,K_pourc,1.2066296492
2,20,N_pourc,2.795
2,20,P_pourc,0.2244189658
2,20,K_pourc,1.2002924994
2,21,N_pourc,2.772
2,21,P_pourc,0.233370693
2,21,K_pourc,1.1654441863
2,22,N_pourc,2.92
2,22,P_pourc,0.2262651637
2,22,K_pourc,1.2228929142
2,23,N_pourc,2.862
2,23,P_pourc,0.2019247043
2,23,K_pourc,1.1774408878
2,24,N_pourc,2.723
2,24,P_pourc,0.1814049894
2,24,K_pourc,1.1353599694
2,25,N_pourc,2.647
2,25,P_pourc,0.1721720058
2,25,K_pourc,1.2427743044
2,26,N_pourc,2.587
2,26,P_pourc,0.1578009827
2,26,K_pourc,1.3406919687
2,27,N_pourc,2.839
2,27,P_pourc,0.1725457575
2,27,K_pourc,1.2695898672000001
2,28,N_pourc,2.698
2,28,P_pourc,0.1900911672
2,28,K_pourc,1.1748637357
2,29,N_pourc,2.698
2,29,P_pourc,0.1631142259
2,29,K_pourc,0.857631779
2,30,N_pourc,2.256
2,30,P_pourc,0.17559386
2,30,K_pourc,0.6273341343
MB,31,N_pourc,2.067
MB,31,P_pourc,0.1280042581
MB,31,K_pourc,0.7399767292
MB,32,N_pourc,2.094
MB,32,P_pourc,0.1172147646
MB,32,K_pourc,0.4540803732
MB,33,N_pourc,2.143
MB,33,P_pourc,0.1025323329
MB,33,K_pourc,0.529523329
MB,34,N_pourc,2.35
MB,34,P_pourc,0.1149739544
MB,34,K_pourc,0.737710094
MB,35,N_pourc,2.11
MB,35,P_pourc,0.0847428969
MB,35,K_pourc,0.9127261677
MR,36,N_pourc,2.063
MR,36,P_pourc,0.1226033235
MR,36,K_pourc,0.9337929452
MR,37,N_pourc,1.903
MR,37,P_pourc,0.1288217918
MR,37,K_pourc,0.9577305624
MR,38,N_pourc,1.947
MR,38,P_pourc,0.1125788709
MR,38,K_pourc,0.906440617
MR,39,N_pourc,1.953
MR,39,P_pourc,0.1218836929
MR,39,K_pourc,0.696009479
MR,40,N_pourc,2.088
MR,40,P_pourc,0.1477856146
MR,40,K_pourc,0.6558605529
NESP,41,N_pourc,1.729
NESP,41,P_pourc,0.1479654801
NESP,41,K_pourc,0.8505295659
NESP,42,N_pourc,1.921
NESP,42,P_pourc,0.1344191193
NESP,42,K_pourc,1.0940762308
NESP,43,N_pourc,1.532
NESP,43,P_pourc,0.1306055865
NESP,43,K_pourc,0.849186904
NESP,44,N_pourc,1.751
NESP,44,P_pourc,0.11996070389999999
NESP,44,K_pourc,1.1256370494
NESP,45,N_pourc,1.861
NESP,45,P_pourc,0.1424333937
NESP,45,K_pourc,0.8074153603
NBM,46,N_pourc,1.595
NBM,46,P_pourc,0.1054601324
NBM,46,K_pourc,0.6843161698
NBM,47,N_pourc,1.847
NBM,47,P_pourc,0.1162190628
NBM,47,K_pourc,0.7447759985
NBM,48,N_pourc,2.146
NBM,48,P_pourc,0.1181775794
NBM,48,K_pourc,0.8746860933
NBM,49,N_pourc,2.056
NBM,49,P_pourc,0.137376491
NBM,49,K_pourc,1.1433717017
NBM,50,N_pourc,2.415
NBM,50,P_pourc,0.1563609441
NBM,50,K_pourc,0.8248472716
NTP,51,N_pourc,2.053
NTP,51,P_pourc,0.104169284
NTP,51,K_pourc,0.3977509605
NTP,52,N_pourc,1.876
NTP,52,P_pourc,0.0806914759
NTP,52,K_pourc,0.3942781758
NTP,53,N_pourc,1.656
NTP,53,P_pourc,0.0871712253
NTP,53,K_pourc,0.345079117
NTP,54,N_pourc,1.672
NTP,54,P_pourc,0.0869492867
NTP,54,K_pourc,0.4559794359
NTP,55,N_pourc,1.882
NTP,55,P_pourc,0.0776292521
NTP,55,K_pourc,0.4191285679
SSP,56,N_pourc,1.67
SSP,56,P_pourc,0.1261465251
SSP,56,K_pourc,0.6551949246
SSP,57,N_pourc,1.657
SSP,57,P_pourc,0.1280693715
SSP,57,K_pourc,0.6590328952
SSP,58,N_pourc,1.976
SSP,58,P_pourc,0.1307720382
SSP,58,K_pourc,0.6862592563
SSP,59,N_pourc,1.989
SSP,59,P_pourc,0.1362861299
SSP,59,K_pourc,0.7342204822
SSP,60,N_pourc,1.848
SSP,60,P_pourc,0.1297298248
SSP,60,K_pourc,0.7665629306
BS2,61,N_pourc,2.62
BS2,61,P_pourc,0.1080636441
BS2,61,K_pourc,0.6319170966
BS2,62,N_pourc,2.435
BS2,62,P_pourc,0.091078718
BS2,62,K_pourc,1.0705683451
BS2,63,N_pourc,1.775
BS2,63,P_pourc,0.1176345441
BS2,63,K_pourc,1.5407682978
BS2,64,N_pourc,1.889
BS2,64,P_pourc,0.1269219417
BS2,64,K_pourc,1.2811678597
BS2,65,N_pourc,1.683
BS2,65,P_pourc,0.0720981405
BS2,65,K_pourc,1.085134821
1,66,N_pourc,2.627
1,66,P_pourc,0.1863188972
1,66,K_pourc,0.9877968277
1,67,N_pourc,2.215
1,67,P_pourc,0.1754287564
1,67,K_pourc,0.8709756687
1,68,N_pourc,2.36
1,68,P_pourc,0.1676519972
1,68,K_pourc,0.863275109
1,69,N_pourc,2.095
1,69,P_pourc,0.1545445243
1,69,K_pourc,0.4850660678
1,70,N_pourc,2.469
1,70,P_pourc,0.1597495586
1,70,K_pourc,1.0111270436
1,71,N_pourc,2.648
1,71,P_pourc,0.1688704758
1,71,K_pourc,0.8922459849
1,72,N_pourc,2.769
1,72,P_pourc,0.2064365363
1,72,K_pourc,1.1790870115
1,73,N_pourc,2.252
1,73,P_pourc,0.1684976158
1,73,K_pourc,0.7524137887
1,74,N_pourc,2.366
1,74,P_pourc,0.1524109882
1,74,K_pourc,0.6674524722
1,75,N_pourc,2.548
1,75,P_pourc,0.1323822306
1,75,K_pourc,0.6843966741
1,76,N_pourc,2.133
1,76,P_pourc,0.1403736419
1,76,K_pourc,0.6834669082
1,77,N_pourc,2.151
1,77,P_pourc,0.1382066672
1,77,K_pourc,0.7660297159
1,78,N_pourc,2.309
1,78,P_pourc,0.1555248721
1,78,K_pourc,0.8325102703
1,79,N_pourc,2.117
1,79,P_pourc,0.1389777086
1,79,K_pourc,0.8193740438
1,80,N_pourc,2.22
1,80,P_pourc,0.1497179088
1,80,K_pourc,0.9275278775
1,81,N_pourc,2.062
1,81,P_pourc,0.1405415576
1,81,K_pourc,0.7131451472
1,82,N_pourc,1.95
1,82,P_pourc,0.1413359316
1,82,K_pourc,0.9365316864
1,83,N_pourc,1.822
1,83,P_pourc,0.1317656145
1,83,K_pourc,1.0443618438
1,84,N_pourc,2.154
1,84,P_pourc,0.1606188262
1,84,K_pourc,1.323548484
1,85,N_pourc,1.983
1,85,P_pourc,0.1410045687
1,85,K_pourc,1.1616835429
WTP,86,N_pourc,1.983
WTP,86,P_pourc,0.0892145855
WTP,86,K_pourc,0.6481644462
WTP,87,N_pourc,1.719
WTP,87,P_pourc,0.0759938153
WTP,87,K_pourc,0.5568934646
WTP,88,N_pourc,1.626
WTP,88,P_pourc,0.0755592931
WTP,88,K_pourc,0.5070169445
WTP,89,N_pourc,1.798
WTP,89,P_pourc,0.0799258718
WTP,89,K_pourc,0.4647199775
WTP,90,N_pourc,1.806
WTP,90,P_pourc,0.0848354981
WTP,90,K_pourc,0.7131133592
